읍면동명,영유아 및 어린이,10대,20대,30대,40대,50대,60대,70대,80대 이상
궁동,1.733102253032929,6.065857885615252,6.759098786828423,6.759098786828423,12.305025996533796,16.291161178509533,20.797227036395146,16.11785095320624,13.171577123050259
궁정동,0.0,7.142857142857142,3.571428571428571,7.142857142857142,14.285714285714285,42.857142857142854,10.714285714285714,10.714285714285714,3.571428571428571
권농동,0.0,0.0,13.043478260869565,8.695652173913043,13.043478260869565,4.3478260869565215,26.08695652173913,30.434782608695656,4.3478260869565215
금호동1가,3.584229390681003,3.405017921146954,9.67741935483871,8.781362007168457,7.526881720430108,11.29032258064516,20.43010752688172,19.71326164874552,15.591397849462366
금호동2가,8.108108108108109,0.6756756756756757,8.445945945945946,13.513513513513514,12.162162162162163,15.878378378378377,15.202702702702704,15.878378378378377,10.135135135135135
금호동3가,3.7825059101654848,4.491725768321513,7.092198581560284,8.037825059101655,8.983451536643026,11.347517730496454,17.96690307328605,22.93144208037825,15.36643026004728
금호동4가,1.971326164874552,2.3297491039426523,9.31899641577061,12.007168458781361,10.03584229390681,13.082437275985665,16.845878136200717,17.20430107526882,17.20430107526882
길동,2.0222446916076846,3.1344792719919106,9.251769464105157,9.251769464105157,10.364004044489384,17.745197168857434,17.391304347826086,16.22851365015167,14.610717896865522
길음동,5.929919137466308,5.053908355795148,6.132075471698113,9.433962264150944,11.590296495956872,11.118598382749326,17.38544474393531,18.935309973045822,14.420485175202154
낙원동,0.9487666034155597,1.8975332068311195,9.487666034155598,8.159392789373813,13.282732447817835,19.35483870967742,20.113851992409867,18.026565464895636,8.72865275142315
남가좌동,4.398289554062309,4.825901038485034,8.24679291386683,8.918753817959683,7.8191814294441055,15.149664019547954,15.760537568723274,18.814905314599876,16.065974343310934
남대문로1가,0.0,0.0,6.666666666666667,13.333333333333334,26.666666666666668,20.0,20.0,6.666666666666667,6.666666666666667
남대문로2가,0.0,4.0,28.000000000000004,28.000000000000004,20.0,12.0,8.0,0.0,0.0
남대문로3가,0.0,0.0,5.88235294117647,2.941176470588235,8.823529411764707,38.23529411764706,29.411764705882355,5.88235294117647,8.823529411764707
남대문로4가,5.88235294117647,4.357298474945534,10.239651416122005,15.686274509803921,19.825708061002178,18.30065359477124,22.440087145969496,3.0501089324618738,0.2178649237472767
남대문로5가,0.6514657980456027,1.3029315960912053,10.749185667752444,9.446254071661238,24.429967426710096,20.195439739413683,18.566775244299674,9.446254071661238,5.211726384364821
남산동1가,6.25,0.0,37.5,0.0,0.0,6.25,37.5,6.25,6.25
남산동2가,0.0,2.5,27.500000000000004,12.5,7.5,15.0,12.5,15.0,7.5
남산동3가,0.0,7.6923076923076925,23.076923076923077,15.384615384615385,30.76923076923077,7.6923076923076925,7.6923076923076925,7.6923076923076925,0.0
남영동,0.0,4.545454545454546,15.909090909090908,12.5,14.772727272727273,21.59090909090909,15.909090909090908,7.954545454545454,6.8181818181818175
남창동,1.6129032258064515,2.4193548387096775,5.64516129032258,8.064516129032258,15.32258064516129,17.741935483870968,21.774193548387096,22.58064516129032,4.838709677419355
남학동,0.0,0.0,20.0,40.0,20.0,20.0,0.0,0.0,0.0
남현동,1.9178082191780823,3.8356164383561646,19.589041095890412,12.602739726027398,6.575342465753424,13.287671232876713,16.301369863013697,17.945205479452056,7.9452054794520555
내곡동,5.172413793103448,2.413793103448276,10.689655172413794,12.413793103448276,11.03448275862069,15.517241379310345,14.827586206896552,15.172413793103448,12.758620689655173
내발산동,3.740458015267176,7.022900763358779,8.778625954198473,7.328244274809161,10.305343511450381,14.122137404580155,16.412213740458014,17.251908396946565,15.038167938931299
내수동,0.9708737864077669,2.912621359223301,17.475728155339805,12.62135922330097,15.53398058252427,15.53398058252427,8.737864077669903,6.796116504854369,19.41747572815534
