읍면동명,기타,질병,질병외
동선동2가,6.0,46.0,61.0
동선동3가,7.0,54.0,52.0
동선동4가,16.0,96.0,89.0
동선동5가,4.0,57.0,35.0
동소문동1가,6.0,31.0,46.0
동소문동2가,5.0,42.0,41.0
동소문동3가,2.0,33.0,42.0
동소문동4가,6.0,54.0,52.0
동소문동5가,13.0,75.0,78.0
동소문동6가,4.0,68.0,77.0
동소문동7가,3.0,55.0,45.0
동숭동,30.0,179.0,179.0
동자동,54.0,499.0,896.0
동작동,9.0,146.0,274.0
둔촌동,67.0,630.0,513.0
등촌동,166.0,2626.0,1933.0
마곡동,108.0,1454.0,1533.0
마장동,43.0,512.0,546.0
마천동,109.0,1409.0,1307.0
마포동,14.0,60.0,331.0
만리동1가,6.0,38.0,48.0
만리동2가,X,63.0,59.0
망우동,222.0,1753.0,1456.0
망원동,80.0,981.0,1173.0
면목동,374.0,3869.0,3506.0
명동1가,5.0,30.0,34.0
명동2가,10.0,28.0,70.0
명륜1가,5.0,118.0,90.0
명륜2가,9.0,82.0,70.0
명륜3가,9.0,141.0,113.0
명륜4가,7.0,55.0,71.0
명일동,70.0,822.0,731.0
목동,159.0,2825.0,2750.0
묘동,42.0,85.0,170.0
무교동,2.0,18.0,25.0
무악동,17.0,217.0,182.0
무학동,9.0,68.0,58.0
묵동,125.0,1238.0,951.0
묵정동,1.0,20.0,21.0
문래동1가,8.0,33.0,88.0
문래동2가,3.0,27.0,73.0
문래동3가,37.0,339.0,433.0
문래동4가,2.0,37.0,42.0
문래동5가,6.0,84.0,88.0
문래동6가,15.0,149.0,182.0
문배동,5.0,73.0,101.0
문정동,78.0,1356.0,1405.0
미근동,8.0,46.0,77.0
미아동,456.0,3952.0,3370.0
반포동,179.0,1740.0,2271.0
방배동,143.0,2018.0,2140.0
방산동,4.0,9.0,23.0
방이동,89.0,1245.0,1672.0
방학동,266.0,2346.0,1874.0
방화동,169.0,2273.0,1812.0
번동,237.0,1897.0,1735.0
보광동,25.0,400.0,410.0
보문동1가,7.0,24.0,37.0
보문동2가,3.0,52.0,54.0
보문동3가,8.0,50.0,39.0
보문동4가,3.0,32.0,38.0
보문동5가,5.0,66.0,47.0
보문동6가,7.0,99.0,81.0
보문동7가,6.0,51.0,68.0
본동,7.0,226.0,368.0
봉래동1가,1.0,13.0,34.0
봉래동2가,37.0,191.0,520.0
봉원동,X,16.0,14.0
봉익동,3.0,14.0,33.0
봉천동,622.0,6017.0,4712.0
부암동,9.0,98.0,125.0
북가좌동,65.0,1228.0,1071.0
북아현동,76.0,770.0,609.0
북창동,18.0,134.0,55.0
불광동,93.0,1773.0,1573.0
사간동,2.0,7.0,8.0
사근동,18.0,221.0,213.0
사당동,155.0,2320.0,2148.0
사직동,4.0,92.0,74.0
산림동,1.0,13.0,9.0
산천동,3.0,90.0,54.0
삼각동,2.0,6.0,7.0
삼선동1가,6.0,138.0,111.0
삼선동2가,8.0,114.0,92.0
삼선동3가,8.0,92.0,61.0
삼선동4가,9.0,104.0,88.0
삼선동5가,11.0,101.0,129.0
삼성동,181.0,1232.0,1743.0
삼전동,41.0,666.0,709.0
삼청동,4.0,48.0,53.0
상계동,596.0,5227.0,4288.0
상도1동,8.0,205.0,234.0
상도동,105.0,2504.0,2004.0
상봉동,159.0,1381.0,1273.0
상수동,25.0,140.0,278.0
상암동,43.0,855.0,1266.0
상왕십리동,20.0,121.0,146.0
상월곡동,12.0,238.0,204.0
상일동,55.0,796.0,665.0
서계동,14.0,213.0,231.0
서교동,185.0,736.0,1630.0
서린동,11.0,25.0,33.0
서빙고동,13.0,123.0,244.0
서소문동,12.0,60.0,75.0
서초동,357.0,2737.0,3482.0
석관동,105.0,938.0,832.0
석촌동,47.0,819.0,815.0
성내동,202.0,1923.0,1698.0
성북동,14.0,282.0,247.0
성북동1가,5.0,51.0,50.0
성산동,85.0,1469.0,1659.0
성수동1가,54.0,700.0,1082.0
성수동2가,75.0,776.0,1297.0
세곡동,34.0,332.0,311.0
세종로,11.0,99.0,144.0
소격동,3.0,12.0,11.0
소공동,4.0,37.0,56.0
송월동,2.0,12.0,11.0
송정동,32.0,289.0,356.0
송파동,37.0,789.0,804.0
송현동,1.0,2.0,4.0
수색동,20.0,352.0,376.0
수서동,141.0,1025.0,888.0
수송동,14.0,157.0,77.0
수유동,354.0,3595.0,3440.0
수표동,3.0,14.0,17.0
수하동,2.0,15.0,11.0
순화동,5.0,44.0,45.0
숭인동,100.0,611.0,681.0
시흥동,248.0,3087.0,3074.0
신계동,3.0,59.0,56.0
신공덕동,10.0,276.0,228.0
신교동,2.0,51.0,40.0
신길동,172.0,2471.0,2653.0
신내동,227.0,1788.0,1180.0
신당동,232.0,1943.0,2071.0
신대방동,98.0,1270.0,1003.0
신도림동,105.0,733.0,805.0
신림동,722.0,6971.0,6708.0
신문로1가,12.0,22.0,44.0
신문로2가,3.0,38.0,52.0
신사동,219.0,1925.0,2225.0
신설동,51.0,227.0,403.0
신수동,34.0,455.0,359.0
신영동,1.0,76.0,72.0
신원동,15.0,211.0,246.0
신월동,184.0,3479.0,3094.0
신정동,308.0,4034.0,3588.0
신창동,1.0,45.0,39.0
신천동,56.0,834.0,1075.0
신촌동,16.0,211.0,125.0
쌍림동,6.0,44.0,45.0
쌍문동,162.0,2179.0,1767.0
아현동,50.0,622.0,678.0
안국동,3.0,21.0,23.0
안암동1가,4.0,55.0,63.0
안암동2가,3.0,57.0,61.0
안암동3가,7.0,55.0,56.0
안암동4가,2.0,20.0,28.0
안암동5가,40.0,267.0,283.0
암사동,131.0,1613.0,1370.0
압구정동,58.0,484.0,826.0
양재동,121.0,1040.0,1405.0
양평동,3.0,8.0,118.0
양평동1가,11.0,122.0,160.0
양평동2가,17.0,169.0,165.0
양평동3가,12.0,180.0,252.0
양평동4가,17.0,174.0,235.0
양평동5가,8.0,123.0,113.0
양평동6가,4.0,59.0,63.0
양화동,8.0,24.0,227.0
여의도동,118.0,1120.0,2888.0
역삼동,548.0,2262.0,3861.0
역촌동,64.0,1413.0,950.0
연건동,18.0,121.0,136.0
연남동,25.0,402.0,470.0
연지동,2.0,39.0,37.0
연희동,116.0,1095.0,1004.0
염곡동,4.0,45.0,81.0
염리동,19.0,363.0,342.0
염창동,54.0,809.0,663.0
영등포동,72.0,565.0,1181.0
영등포동1가,35.0,310.0,153.0
