읍면동명,남,미상,여
화양동,635.0,574.0,664.0
황학동,425.0,245.0,276.0
회기동,415.0,159.0,386.0
회현동1가,101.0,69.0,92.0
회현동2가,42.0,16.0,32.0
효자동,17.0,9.0,10.0
효제동,38.0,33.0,26.0
효창동,151.0,115.0,183.0
후암동,337.0,306.0,291.0
훈정동,18.0,4.0,3.0
휘경동,831.0,318.0,741.0
흑석동,510.0,257.0,545.0
흥인동,141.0,62.0,101.0
