읍면동명,가을,겨울,봄,여름
한강로3가,182.0,132.0,130.0,166.0
한남동,303.0,279.0,245.0,287.0
합동,9.0,17.0,9.0,16.0
합정동,269.0,196.0,202.0,251.0
항동,110.0,63.0,84.0,101.0
행당동,471.0,416.0,430.0,508.0
행촌동,66.0,47.0,37.0,51.0
현석동,39.0,22.0,32.0,34.0
현저동,58.0,61.0,66.0,66.0
혜화동,46.0,25.0,46.0,44.0
홍은동,525.0,395.0,468.0,525.0
홍익동,82.0,64.0,70.0,74.0
홍제동,508.0,486.0,500.0,569.0
홍지동,15.0,30.0,34.0,25.0
홍파동,8.0,7.0,10.0,15.0
화곡동,2382.0,1856.0,1872.0,2295.0
화동,3.0,4.0,7.0,1.0
화양동,338.0,293.0,288.0,348.0
황학동,185.0,150.0,182.0,162.0
회기동,293.0,149.0,148.0,193.0
회현동1가,41.0,55.0,43.0,49.0
회현동2가,14.0,13.0,18.0,28.0
회현동3가,,1.0,0.0,0.0
효자동,10.0,7.0,6.0,3.0
효제동,15.0,17.0,17.0,14.0
효창동,64.0,85.0,91.0,89.0
후암동,154.0,145.0,159.0,146.0
훈정동,5.0,2.0,5.0,7.0
휘경동,444.0,339.0,341.0,423.0
흑석동,299.0,235.0,255.0,249.0
흥인동,62.0,46.0,64.0,62.0
